Time [s],Channel 0
0.000000000,0
0.196050416,1
0.202320410,0
0.446052190,1
0.452322180,0
0.696053962,1
0.702323958,0
0.946055736,1
0.952325754,0
1.196057506,1
1.202327516,0
1.446059318,1
1.452329272,0
1.696061090,1
1.702331050,0
1.946062860,1
1.952332826,0
2.196064628,1
2.202334584,0
2.446066394,1
2.452336372,0
2.696068160,1
2.702338220,0
2.946069920,1
2.952339922,0
3.196071680,1
3.202341706,0
3.446073434,1
3.452343438,0
3.696075188,1
3.702345154,0
3.946076976,1
3.952346926,0
4.196078724,1
4.202348688,0
4.446080466,1
4.452350438,0
4.696082206,1
4.702352182,0
4.946083944,1
4.952353882,0
5.196085678,1
5.202355658,0
5.446087410,1
5.452357426,0
5.696089134,1
5.702359176,0
5.946090858,1
5.952360860,0
6.196092580,1
6.202362590,0
6.446094336,1
6.452364320,0
6.696096052,1
6.702366034,0
6.946097764,1
6.952367710,0
7.196099474,1
7.202369462,0
7.446101180,1
7.452371146,0
7.696102882,1
7.702372896,0
7.946104582,1
7.952374566,0
8.196106280,1
8.202376262,0
8.446107974,1
8.452377960,0
8.696109666,1
8.702379720,0
8.946111356,1
8.952381356,0
9.196113084,1
9.202383028,0
9.446114768,1
9.452384724,0
9.696116450,1
9.702386414,0
9.946118130,1
9.952388108,0
10.196119808,1
10.202389784,0
10.446121482,1
10.452391492,0
10.468982784,0
