,time,temperature
0,0.0,227.0
1,0.5,227.0
2,1.0,225.0
3,1.5,226.0
4,2.0,227.0
5,2.5,227.0
6,3.0,227.0
7,3.5,227.0
8,4.0,227.0
9,4.5,227.0
10,5.0,226.0
11,5.5,227.0
12,6.0,226.0
13,6.5,227.0
14,7.0,226.0
15,7.5,225.0
16,8.0,227.0
17,8.5,227.0
18,9.0,226.0
19,9.5,226.0
20,10.0,226.0
21,10.5,225.0
22,11.0,224.0
23,11.5,225.0
24,12.0,224.0
25,12.5,224.0
26,13.0,224.0
27,13.5,224.0
28,14.0,224.0
29,14.5,224.0
30,15.0,223.0
31,15.5,223.0
32,16.0,223.0
33,16.5,222.0
34,17.0,221.0
35,17.5,221.0
36,18.0,220.0
37,18.5,220.0
38,19.0,220.0
39,19.5,220.0
40,20.0,219.0
41,20.5,219.0
42,21.0,217.0
43,21.5,219.0
44,22.0,216.0
45,22.5,217.0
46,23.0,216.0
47,23.5,216.0
48,24.0,215.0
49,24.5,216.0
50,25.0,215.0
51,25.5,215.0
52,26.0,213.0
53,26.5,214.0
54,27.0,213.0
55,27.5,212.0
56,28.0,213.0
57,28.5,213.0
58,29.0,212.0
59,29.5,211.0
60,30.0,211.0
61,30.5,211.0
62,31.0,209.0
63,31.5,209.0
64,32.0,208.0
65,32.5,208.0
66,33.0,208.0
67,33.5,208.0
68,34.0,208.0
69,34.5,207.0
70,35.0,207.0
71,35.5,207.0
72,36.0,204.0
73,36.5,205.0
74,37.0,205.0
75,37.5,205.0
76,38.0,204.0
77,38.5,204.0
78,39.0,204.0
79,39.5,203.0
80,40.0,203.0
81,40.5,202.0
82,41.0,202.0
83,41.5,201.0
84,42.0,201.0
85,42.5,200.0
86,43.0,200.0
87,43.5,200.0
88,44.0,200.0
89,44.5,198.0
90,45.0,197.0
91,45.5,199.0
92,46.0,197.0
93,46.5,196.0
94,47.0,197.0
95,47.5,196.0
96,48.0,196.0
97,48.5,196.0
98,49.0,195.0
99,49.5,195.0
100,50.0,195.0
101,50.5,193.0
102,51.0,193.0
103,51.5,194.0
104,52.0,192.0
105,52.5,192.0
106,53.0,192.0
107,53.5,191.0
108,54.0,191.0
109,54.5,189.0
110,55.0,191.0
111,55.5,189.0
112,56.0,188.0
113,56.5,188.0
114,57.0,187.0
115,57.5,187.0
116,58.0,187.0
117,58.5,187.0
118,59.0,186.0
119,59.5,185.0
120,60.0,185.0
121,60.5,184.0
122,61.0,184.0
123,61.5,183.0
124,62.0,183.0
125,62.5,183.0
126,63.0,183.0
127,63.5,181.0
128,64.0,181.0
129,64.5,180.0
130,65.0,179.0
131,65.5,179.0
132,66.0,181.0
133,66.5,179.0
134,67.0,177.0
135,67.5,178.0
136,68.0,177.0
137,68.5,176.0
138,69.0,175.0
139,69.5,176.0
140,70.0,176.0
141,70.5,175.0
142,71.0,175.0
143,71.5,174.0
144,72.0,173.0
145,72.5,174.0
146,73.0,173.0
147,73.5,172.0
148,74.0,170.0
149,74.5,171.0
150,75.0,170.0
151,75.5,170.0
152,76.0,168.0
153,76.5,169.0
154,77.0,169.0
155,77.5,169.0
156,78.0,168.0
157,78.5,166.0
158,79.0,167.0
159,79.5,167.0
160,80.0,166.0
161,80.5,166.0
162,81.0,165.0
163,81.5,165.0
164,82.0,164.0
165,82.5,164.0
166,83.0,163.0
167,83.5,162.0
168,84.0,162.0
169,84.5,161.0
170,85.0,161.0
171,85.5,160.0
172,86.0,159.0
173,86.5,160.0
174,87.0,160.0
175,87.5,158.0
176,88.0,158.0
177,88.5,158.0
178,89.0,158.0
179,89.5,157.0
180,90.0,157.0
181,90.5,157.0
182,91.0,156.0
183,91.5,156.0
184,92.0,154.0
185,92.5,155.0
186,93.0,154.0
187,93.5,153.0
188,94.0,152.0
189,94.5,153.0
190,95.0,152.0
191,95.5,152.0
192,96.0,152.0
193,96.5,150.0
194,97.0,150.0
195,97.5,150.0
196,98.0,150.0
197,98.5,149.0
198,99.0,149.0
199,99.5,148.0
200,100.0,148.0
201,100.5,148.0
202,101.0,146.0
203,101.5,146.0
204,102.0,145.0
205,102.5,145.0
206,103.0,146.0
207,103.5,145.0
208,104.0,144.0
209,104.5,145.0
210,105.0,144.0
211,105.5,144.0
212,106.0,142.0
213,106.5,142.0
214,107.0,142.0
215,107.5,142.0
216,108.0,141.0
217,108.5,141.0
218,109.0,140.0
219,109.5,139.0
220,110.0,140.0
221,110.5,140.0
222,111.0,138.0
223,111.5,138.0
