,time,flowrate_set,flowrate,pressure_set,pressure
1,0.1,0,0,0,0
2,0.2,0,0,0,0
3,0.3,0,0,0,0
4,0.4,0,0,0,0
5,0.5,0,0,0,0
6,0.6,0,0,0,0
7,0.7,0,0,0,0
8,0.8,0,0,0,0
9,0.9,0,0,0,0
10,1,0,0,0,0
11,1.1,0,0,0,0
12,1.2,0,0,0,0
13,1.3,0,0,0,0
14,1.4,0,0,0,0
15,1.5,0,0,0,0
16,1.6,0,0,0,0
17,1.7,0,0,0,0
18,1.8,0,0,0,0
19,1.9,0,0,0,0
20,2,0,0,0,0
21,2.1,0,0,0,0
22,2.2,0,0,0,0
23,2.3,0,0,0,0
24,2.4,0,0,0,0
25,2.5,0,0,0,0
26,2.6,0,0,0,0
27,2.7,0,0,0,0
28,2.8,0,0,0,0
29,2.9,0,0,0,0
30,3,0,0,0,0
31,3.1,0,0,0,0
32,3.2,0,0,0,0
33,3.3,0,0,0,0
34,3.4,0,0,0,0
35,3.5,0,0,0,0
36,3.6,0,0,0,0
37,3.7,0,0,0,0
38,3.8,0,0,0,0
39,3.9,0,0,0,0
40,4,0,0,0,0
41,4.1,0,0,0,0
42,4.2,0,0,0,0
43,4.3,0,0,0,0
44,4.4,0,0,0,0
45,4.5,0,0,0,0
46,4.6,0,0,0,0
47,4.7,0,0,0,0
48,4.8,0,0,0,0
49,4.9,0,0,0,0
50,5,0,0,0,0
51,5.1,0,0,0,0
52,5.2,0,0,0.695597529,0
53,5.3,0,0,0.695597529,0
54,5.4,0,0,0.695597529,0
55,5.5,0,0,0.695597529,0.802612543
56,5.6,0,0,0.695597529,0.777432501
57,5.7,0,0.01399231,0.695597529,0.815202534
58,5.8,0,0.06149292,0.695597529,0.878152549
59,5.9,0,0.118499756,0.695597529,0.745957553
60,6,0,0.298995972,0.695597529,0.723924994
61,6.1,0,0.317993164,0.695597529,0.670417547
62,6.2,0,0.261001587,0.695597529,0.645237505
63,6.3,0,0.317993164,0.695597529,0.660975039
64,6.4,0,0.346496582,0.695597529,0.683007538
65,6.5,0,0.270492554,0.695597529,0.679859996
66,6.6,0,0.317993164,0.695597529,0.761695027
67,6.7,0,0.393997192,0.695597529,0.434355021
68,6.8,1,0.289489746,0.695597529,0.393437505
69,6.9,1,0.356002808,0.708187521,0.487862527
70,7,1,0.346496582,0.739662528,0.358815014
71,7.1,1,0.365493774,0.752252519,0.387142509
72,7.2,1,0.32749939,0.790022552,0.424912512
73,7.3,1,0.356002808,0.78687501,0.745957553
74,7.4,1,0.375,0.799465001,0.717630029
75,7.5,1,0.308502197,0.91277504,0.739662528
76,7.6,1,0.298995972,0.91277504,0.771137536
77,7.7,1,0.45098877,0.906480014,0.85612005
78,7.8,1,0.412994385,0.893890023,0.796317518
79,7.9,1,0.460494995,0.909627557,0.827792525
80,8,1,0.45098877,0.941102505,0.790022552
81,8.1,1,0.479492188,0.953692555,0.8214975
82,8.2,1,0.479492188,0.98202002,0.808907509
83,8.3,1,0.517501831,0.969430029,0.783727527
84,8.4,1,0.517501831,0.969430029,0.925365031
85,8.5,1,0.574493408,0.997757554,0.812055051
86,8.6,1,0.507995605,1.019790053,0.849825025
87,8.7,1,0.49848938,1.073297501,0.925365031
88,8.8,1,0.574493408,1.054412484,0.903332531
89,8.9,1,0.612503052,1.051265001,0.953692555
90,9,1,0.621994019,1.051265001,1.026085019
91,9.1,1,0.631500244,1.079592586,0.997757554
92,9.2,1,0.650497437,1.073297501,0.994610012
93,9.3,1,0.621994019,1.09533,1.048117518
94,9.4,1,0.697998047,1.085887551,0.934807539
95,9.5,1,0.707489014,1.114215016,0.997757554
96,9.6,1,0.660003662,1.133100033,1.076444983
97,9.7,1,0.754989624,1.120509982,1.019790053
98,9.8,1,0.707489014,1.164574981,1.101625085
99,9.9,1,0.726501465,1.148837566,1.022937536
100,10,1,0.716995239,1.142542481,1.126805067
101,10.1,1,0.726501465,1.183459997,1.126805067
102,10.2,1,0.792999268,1.164574981,1.032379985
103,10.3,1,0.745498657,1.202345014,1.123657584
104,10.4,1,0.745498657,1.208640099,1.111067533
105,10.5,1,0.821502686,1.218082547,1.123657584
106,10.6,1,0.792999268,1.192902565,1.114215016
107,10.7,1,0.726501465,1.224377513,1.123657584
108,10.8,1,0.802490234,1.199197531,1.148837566
109,10.9,1,0.821502686,1.22123003,1.18660748
110,11,1,0.821502686,1.211787581,1.233820081
111,11.1,1,0.840499878,1.230672598,1.174017549
112,11.2,1,0.821502686,1.236967564,1.107920051
113,11.3,1,0.783493042,1.268442512,1.230672598
114,11.4,1,0.849990845,1.233820081,1.192902565
115,11.5,1,0.840499878,1.192902565,1.164574981
116,11.6,1,0.888000488,1.211787581,1.161427498
117,11.7,1,0.85949707,1.252705097,1.107920051
118,11.8,1,0.85949707,1.271589994,1.25585258
119,11.9,1,0.869003296,1.25585258,1.22123003
120,12,1,0.85949707,1.277885079,1.148837566
121,12.1,1,0.840499878,1.296770096,1.18660748
122,12.2,1,0.944992065,1.252705097,1.230672598
123,12.3,1,0.878494263,1.262147546,1.177165031
124,12.4,1,0.888000488,1.252705097,1.151985049
125,12.5,1,0.944992065,1.321950078,1.22123003
126,12.6,1,0.906997681,1.274737597,1.164574981
127,12.7,1,0.963989258,1.31250751,1.177165031
128,12.8,1,0.916503906,1.274737597,1.208640099
129,12.9,1,0.830993652,1.318802595,1.189755082
130,13,1,0.85949707,1.299917579,1.192902565
131,13.1,1,0.906997681,1.306212544,1.180312514
132,13.2,1,0.916503906,1.296770096,1.265295029
133,13.3,1,0.869003296,1.331392527,1.151985049
134,13.4,1,0.963989258,1.306212544,1.281032562
135,13.5,1,0.963989258,1.309360027,1.205492496
136,13.6,1,0.954498291,1.293622494,1.233820081
137,13.7,1,0.925994873,1.309360027,1.271589994
138,13.8,1,0.954498291,1.328245044,1.12995255
139,13.9,1,0.916503906,1.303065062,1.246410012
140,14,1,0.916503906,1.315654993,1.271589994
141,14.1,1,0.869003296,1.34713006,1.218082547
142,14.2,1,0.916503906,1.353425026,1.218082547
143,14.3,1,0.992492676,1.296770096,1.277885079
144,14.4,1,0.888000488,1.353425026,1.240115047
145,14.5,1,0.992492676,1.34713006,1.34713006
146,14.6,1,0.916503906,1.321950078,1.277885079
147,14.7,1,0.963989258,1.331392527,1.25585258
148,14.8,1,0.906997681,1.306212544,1.218082547
149,14.9,1,0.906997681,1.366015077,1.265295029
150,15,1,0.963989258,1.340835094,1.240115047
151,15.1,1,0.983001709,1.303065062,1.343982577
152,15.2,1,0.944992065,1.34713006,1.233820081
153,15.3,1,0.888000488,1.318802595,1.218082547
154,15.4,1,0.925994873,1.350277543,1.202345014
155,15.5,1,0.925994873,1.362867594,1.161427498
156,15.6,1,0.925994873,1.362867594,1.205492496
157,15.7,1,0.954498291,1.34713006,1.331392527
158,15.8,1,1.001998901,1.331392527,1.252705097
159,15.9,1,0.925994873,1.343982577,1.318802595
160,16,1,0.963989258,1.331392527,1.233820081
161,16.1,1,0.992492676,1.381752491,1.214935064
162,16.2,1,1.011489868,1.343982577,1.334540009
163,16.3,1,0.992492676,1.36916256,1.230672598
164,16.4,1,0.973495483,1.343982577,1.337687492
165,16.5,1,1.039993286,1.325097561,1.243262529
166,16.6,1,1.011489868,1.366015077,1.208640099
167,16.7,1,0.992492676,1.362867594,1.230672598
168,16.8,1,0.973495483,1.340835094,1.34713006
169,16.9,1,1.030502319,1.372310042,1.233820081
170,17,1,0.973495483,1.353425026,1.233820081
171,17.1,1,0.992492676,1.356572509,1.233820081
172,17.2,1,0.983001709,1.353425026,1.230672598
173,17.3,1,1.039993286,1.334540009,1.233820081
174,17.4,1,1.011489868,1.34713006,1.177165031
175,17.5,1,1.011489868,1.334540009,1.284180045
176,17.6,1,1.030502319,1.321950078,1.309360027
177,17.7,1,0.983001709,1.350277543,1.271589994
178,17.8,1,1.039993286,1.325097561,1.265295029
179,17.9,1,0.983001709,1.318802595,1.240115047
180,18,1,1.058990479,1.362867594,1.233820081
181,18.1,1,1.020996094,1.334540009,1.218082547
182,18.2,1,1.039993286,1.337687492,1.240115047
183,18.3,1,1.011489868,1.340835094,1.299917579
184,18.4,1,0.983001709,1.359719992,1.18660748
185,18.5,1,0.992492676,1.328245044,1.271589994
186,18.6,1,1.039993286,1.337687492,1.25585258
187,18.7,1,1.030502319,1.318802595,1.271589994
188,18.8,1,0.992492676,1.34713006,1.337687492
189,18.9,1,0.983001709,1.366015077,1.299917579
190,19,1,1.058990479,1.318802595,1.265295029
191,19.1,1,1.001998901,1.334540009,1.246410012
192,19.2,1,0.954498291,1.372310042,1.199197531
193,19.3,1,0.944992065,1.378605008,1.107920051
194,19.4,1,0.954498291,1.362867594,1.09533
195,19.5,1,1.020996094,1.34713006,1.123657584
196,19.6,1,0.925994873,1.372310042,1.350277543
197,19.7,1,0.954498291,1.34713006,1.321950078
198,19.8,1,0.992492676,1.334540009,1.243262529
199,19.9,1,0.963989258,1.353425026,1.290475011
200,20,1,0.869003296,1.397490025,1.214935064
201,20.1,1,1.001998901,1.315654993,1.268442512
202,20.2,1,0.992492676,1.343982577,1.240115047
203,20.3,1,0.954498291,1.36916256,1.233820081
204,20.4,1,0.925994873,1.372310042,1.321950078
205,20.5,1,0.954498291,1.353425026,1.243262529
206,20.6,1,0.888000488,1.318802595,1.277885079
207,20.7,1,1.030502319,1.34713006,1.293622494
208,20.8,1,0.983001709,1.359719992,1.277885079
209,20.9,1,1.020996094,1.34713006,1.343982577
210,21,1,1.039993286,1.340835094,1.25585258
211,21.1,1,0.973495483,1.366015077,1.202345014
212,21.2,1,1.058990479,1.325097561,1.265295029
213,21.3,1,0.963989258,1.334540009,1.177165031
214,21.4,1,1.049499512,1.359719992,1.192902565
215,21.5,1,1.030502319,1.331392527,1.233820081
216,21.6,1,1.020996094,1.321950078,1.290475011
217,21.7,1,1.049499512,1.318802595,1.227524996
218,21.8,1,1.011489868,1.353425026,1.337687492
219,21.9,1,1.020996094,1.340835094,1.290475011
220,22,1,1.07800293,1.353425026,1.252705097
221,22.1,1,1.049499512,1.306212544,1.281032562
222,22.2,1,1.049499512,1.334540009,1.265295029
223,22.3,1,1.030502319,1.318802595,1.227524996
224,22.4,1,1.020996094,1.359719992,1.25585258
225,22.5,1,1.039993286,1.331392527,1.218082547
226,22.6,1,0.992492676,1.350277543,1.205492496
227,22.7,1,1.049499512,1.303065062,1.281032562
228,22.8,1,1.030502319,1.306212544,1.293622494
229,22.9,1,0.925994873,1.36916256,1.25585258
230,23,1,0.954498291,1.343982577,1.265295029
231,23.1,1,0.983001709,1.337687492,1.246410012
232,23.2,1,0.954498291,1.353425026,1.205492496
233,23.3,1,1.011489868,1.331392527,1.233820081
234,23.4,1,0.963989258,1.343982577,1.205492496
235,23.5,1,1.001998901,1.340835094,1.240115047
236,23.6,1,0.954498291,1.366015077,1.164574981
237,23.7,1,1.020996094,1.331392527,1.271589994
