,time,flowrate_set,flowrate,pressure_set,pressure
1,0.1,0,0,0,0
2,0.2,0,0,0,0
3,0.3,0,0,0,0
4,0.4,0,0,0,0
5,0.5,0,0,0,0
6,0.6,0,0,0,0
7,0.7,0,0,0,0
8,0.8,0,0,0,0
9,0.9,0,0,0,0
10,1,0,0,0,0
11,1.1,0,0,0,0
12,1.2,0,0,0,0
13,1.3,0,0,0,0
14,1.4,2.5,0,0.852972507,0
15,1.5,2.5,0,1.318802595,0
16,1.6,2.5,0,1.787780046,0.346225023
17,1.7,2.5,0,2.253610134,2.086792469
18,1.8,2.5,0.089996338,2.477082491,2.558917522
19,1.9,2.5,0.213500977,2.700555086,2.754062653
20,2,2.5,0.42250061,2.817012548,2.96809268
21,2.1,2.5,0.650497437,3.156942606,3.02474761
22,2.2,2.5,0.925994873,3.147500038,3.29858017
23,2.3,2.5,1.058990479,3.430775166,3.364677668
24,2.4,2.5,1.277496338,3.402447701,3.446512699
25,2.5,2.5,1.382003784,3.616477728,3.610182524
26,2.6,2.5,1.486495972,3.73293519,3.528347731
27,2.7,2.5,1.5625,3.893457651,3.692017555
28,2.8,2.5,1.600494385,3.991030216,3.767557621
29,2.9,2.5,1.695495605,4.044537544,3.928080082
30,3,2.5,1.809494019,4.173584938,3.940670013
31,3.1,2.5,1.980499268,4.028800011,3.924932718
32,3.2,2.5,2.075500488,4.044537544,3.852540016
33,3.3,2.5,2.208496094,3.865130186,3.940670013
34,3.4,2.5,2.303497314,3.943817616,3.81162262
35,3.5,2.5,2.379501343,3.965850115,3.918637514
36,3.6,2.5,2.559997559,3.669985056,3.802180052
37,3.7,2.5,2.569503784,3.795885086,3.632215023
38,3.8,2.5,2.683502197,3.603887558,3.585002661
39,3.9,2.5,2.711990356,3.490577698,3.547232628
40,4,2.5,2.835494995,3.204155207,3.657395124
41,4.1,2.5,2.835494995,3.468545198,3.446512699
42,4.2,2.5,2.79750061,3.393005133,3.289137602
43,4.3,2.5,2.816497803,3.418184996,3.144352674
44,4.4,2.5,2.626495361,3.594445229,3.147500038
45,4.5,2.5,2.636001587,3.503167629,2.946060181
46,4.6,2.5,2.636001587,3.216745138,2.952355146
47,4.7,2.5,2.597991943,3.29858017,2.949207544
48,4.8,2.5,2.597991943,3.279695034,3.370972633
49,4.9,2.5,2.578994751,3.326907635,3.484282494
50,5,2.5,2.559997559,3.421332598,3.317465067
51,5.1,2.5,2.597991943,3.301727533,3.396152496
52,5.2,2.5,2.636001587,3.28599,3.383562565
53,5.3,2.5,2.616989136,3.320612669,3.106582642
54,5.4,2.5,2.683502197,3.056222677,3.02474761
55,5.5,2.5,2.626495361,2.949207544,2.990125179
56,5.6,2.5,2.569503784,3.282842636,2.952355146
57,5.7,2.5,2.626495361,3.075107574,3.018452644
58,5.8,2.5,2.616989136,2.983830214,2.870520115
59,5.9,2.5,2.616989136,2.964945078,2.889405012
60,6,2.5,2.512496948,3.182122707,2.754062653
61,6.1,2.5,2.541000366,3.02474761,2.96809268
62,6.2,2.5,2.512496948,2.961797714,3.160090208
63,6.3,2.5,2.569503784,3.27654767,3.156942606
64,6.4,2.5,2.493499756,2.96809268,3.232482672
65,6.5,2.5,2.493499756,3.131762505,3.02474761
66,6.6,2.5,2.493499756,3.226187706,3.002715111
67,6.7,2.5,2.512496948,3.106582642,3.068812609
68,6.8,2.5,2.522003174,3.08140254,3.02474761
69,6.9,2.5,2.541000366,3.160090208,2.939764977
70,7,2.5,2.502990723,2.864225149,3.027895212
71,7.1,2.5,2.541000366,3.15064764,3.012157679
72,7.2,2.5,2.474502563,3.097140074,3.018452644
73,7.3,2.5,2.550491333,2.95550251,2.946060181
74,7.4,2.5,2.550491333,3.015305042,2.914585114
75,7.5,2.5,2.559997559,2.936617613,3.131762505
76,7.6,2.5,2.512496948,3.056222677,2.952355146
77,7.7,2.5,2.493499756,3.056222677,3.059370041
78,7.8,2.5,2.541000366,2.958650112,2.999567509
79,7.9,2.5,2.550491333,2.861077547,2.999567509
80,8,2.5,2.559997559,3.021600008,2.939764977
81,8.1,2.5,2.541000366,3.065665007,3.015305042
82,8.2,2.5,2.569503784,2.832750082,3.002715111
83,8.3,2.5,2.493499756,3.188417673,2.933470011
84,8.4,2.5,2.541000366,2.914585114,2.870520115
85,8.5,2.5,2.493499756,3.119172573,3.02474761
86,8.6,2.5,2.559997559,2.794980049,2.927175045
87,8.7,2.5,2.569503784,2.848487616,2.961797714
88,8.8,2.5,2.445999146,3.17268014,2.964945078
89,8.9,2.5,2.502990723,2.917732477,2.946060181
90,9,2.5,2.502990723,2.901995182,2.980682611
91,9.1,2.5,2.464996338,3.062517643,3.059370041
92,9.2,2.5,2.522003174,2.952355146,3.002715111
93,9.3,2.5,2.455490112,2.977535009,3.109730005
94,9.4,2.5,2.48399353,2.873667479,2.999567509
95,9.5,2.5,2.445999146,2.886257648,3.015305042
96,9.6,2.5,2.550491333,3.112877607,2.980682611
97,9.7,2.5,2.502990723,3.015305042,2.914585114
98,9.8,2.5,2.502990723,3.062517643,3.059370041
99,9.9,2.5,2.493499756,3.131762505,2.993272543
100,10,2.5,2.48399353,3.090845108,3.049927711
101,10.1,2.5,2.559997559,2.760357618,3.068812609
102,10.2,2.5,2.455490112,3.213597536,2.867372513
103,10.3,2.5,2.455490112,2.917732477,2.933470011
104,10.4,2.5,2.493499756,2.95550251,3.02474761
105,10.5,2.5,2.464996338,3.204155207,2.886257648
106,10.6,2.5,2.512496948,3.040485144,2.933470011
107,10.7,2.5,2.474502563,3.131762505,2.958650112
108,10.8,2.5,2.464996338,3.109730005,3.02474761
109,10.9,2.5,2.493499756,3.021600008,3.160090208
110,11,2.5,2.43649292,3.128615141,3.037337542
111,11.1,2.5,2.474502563,3.08140254,3.049927711
112,11.2,2.5,2.550491333,2.817012548,2.977535009
113,11.3,2.5,2.445999146,3.131762505,3.090845108
114,11.4,2.5,2.512496948,3.002715111,3.005862713
115,11.5,2.5,2.464996338,3.097140074,3.027895212
116,11.6,2.5,2.493499756,3.169532537,2.977535009
117,11.7,2.5,2.569503784,2.864225149,3.018452644
118,11.8,2.5,2.474502563,3.065665007,3.043632507
119,11.9,2.5,2.541000366,2.971240044,3.053075075
120,12,2.5,2.550491333,3.065665007,3.040485144
121,12.1,2.5,2.550491333,2.905142546,3.027895212
122,12.2,2.5,2.48399353,3.097140074,3.02474761
123,12.3,2.5,2.522003174,2.946060181,3.012157679
124,12.4,2.5,2.541000366,2.986977577,2.999567509
125,12.5,2.5,2.541000366,2.980682611,2.854782581
126,12.6,2.5,2.493499756,3.009010077,3.002715111
127,12.7,2.5,2.550491333,2.779242516,3.031042576
128,12.8,2.5,2.427001953,3.191565037,2.961797714
129,12.9,2.5,2.559997559,2.747767687,2.999567509
130,13,2.5,2.493499756,3.037337542,2.990125179
131,13.1,2.5,2.512496948,3.018452644,2.999567509
132,13.2,2.5,2.48399353,2.971240044,3.012157679
133,13.3,2.5,2.512496948,3.09399271,3.02474761
134,13.4,2.5,2.502990723,2.933470011,3.065665007
135,13.5,2.5,2.502990723,2.930322647,2.999567509
136,13.6,2.5,2.493499756,3.166385174,2.952355146
137,13.7,2.5,2.493499756,2.832750082,2.977535009
138,13.8,2.5,2.522003174,2.971240044,2.952355146
139,13.9,2.5,2.502990723,3.02474761,2.939764977
140,14,2.5,2.48399353,3.040485144,3.031042576
141,14.1,2.5,2.502990723,2.892552614,2.927175045
142,14.2,2.5,2.464996338,2.801275015,2.977535009
143,14.3,2.5,2.48399353,3.034190178,2.96809268
144,14.4,2.5,2.493499756,3.043632507,2.999567509
145,14.5,2.5,2.559997559,2.879962683,2.82960248
146,14.6,2.5,2.512496948,2.971240044,3.005862713
147,14.7,2.5,2.512496948,3.065665007,2.949207544
148,14.8,2.5,2.493499756,3.065665007,2.961797714
149,14.9,2.5,2.48399353,3.046780109,3.005862713
150,15,2.5,2.48399353,3.049927711,3.012157679
151,15.1,2.5,2.445999146,3.17268014,2.964945078
152,15.2,2.5,2.445999146,3.191565037,2.958650112
153,15.3,2.5,2.493499756,3.018452644,3.065665007
154,15.4,2.5,2.502990723,2.946060181,3.027895212
155,15.5,2.5,2.550491333,2.996420145,2.990125179
156,15.6,2.5,2.550491333,2.861077547,2.949207544
157,15.7,2.5,2.502990723,2.936617613,2.999567509
158,15.8,2.5,2.522003174,2.89884758,2.933470011
159,15.9,2.5,2.43649292,2.697407484,2.980682611
160,16,2.5,2.398498535,2.788685083,3.049927711
161,16.1,2.5,2.502990723,3.046780109,2.974387646
162,16.2,2.5,2.502990723,3.134910107,3.005862713
163,16.3,2.5,2.474502563,3.062517643,3.02474761
164,16.4,2.5,2.512496948,3.015305042,2.958650112
165,16.5,2.5,2.512496948,3.065665007,3.068812609
166,16.6,2.5,2.512496948,3.112877607,3.037337542
167,16.7,2.5,2.445999146,3.160090208,3.049927711
168,16.8,2.5,2.512496948,2.971240044,3.027895212
169,16.9,2.5,2.493499756,2.927175045,2.946060181
170,17,2.5,2.493499756,2.996420145,3.002715111
171,17.1,2.5,2.512496948,2.964945078,2.96809268
172,17.2,2.5,2.474502563,3.084550142,3.068812609
173,17.3,2.5,2.474502563,3.021600008,3.097140074
174,17.4,2.5,2.512496948,2.942912579,2.990125179
175,17.5,2.5,2.559997559,3.097140074,3.059370041
176,17.6,2.5,2.48399353,3.015305042,3.015305042
177,17.7,2.5,2.474502563,3.185270071,2.993272543
178,17.8,2.5,2.512496948,2.933470011,3.10343504
179,17.9,2.5,2.493499756,3.147500038,3.005862713
180,18,2.5,2.502990723,3.021600008,3.02474761
181,18.1,2.5,2.541000366,3.002715111,2.977535009
182,18.2,2.5,2.474502563,3.17268014,2.993272543
183,18.3,2.5,2.512496948,3.002715111,2.939764977
184,18.4,2.5,2.550491333,2.895699978,3.049927711
185,18.5,2.5,2.48399353,3.131762505,2.920880079
186,18.6,2.5,2.493499756,3.009010077,3.018452644
187,18.7,2.5,2.48399353,3.065665007,2.990125179
188,18.8,2.5,2.493499756,3.059370041,2.999567509
189,18.9,2.5,2.48399353,3.068812609,2.980682611
190,19,2.5,2.455490112,2.939764977,2.974387646
191,19.1,2.5,2.464996338,2.986977577,2.977535009
192,19.2,2.5,2.569503784,2.870520115,3.071960211
193,19.3,2.5,2.522003174,3.005862713,2.977535009
194,19.4,2.5,2.502990723,3.021600008,3.031042576
195,19.5,2.5,2.474502563,2.971240044,2.946060181
196,19.6,2.5,2.48399353,3.065665007,3.090845108
197,19.7,2.5,2.417495728,2.854782581,2.949207544
198,19.8,2.5,2.502990723,3.131762505,3.056222677
199,19.9,2.5,2.493499756,3.071960211,2.993272543
200,20,2.5,2.48399353,3.084550142,2.958650112
201,20.1,2.5,2.48399353,3.068812609,3.084550142
202,20.2,2.5,2.445999146,3.216745138,3.08140254
203,20.3,2.5,2.559997559,2.879962683,2.999567509
204,20.4,2.5,2.493499756,3.053075075,3.049927711
205,20.5,2.5,2.502990723,3.043632507,2.936617613
