Time [s],Channel 0
0.000000000,0
0.185380924,1
0.197898312,0
0.685338828,1
0.697856170,0
1.185296692,1
1.197814056,0
1.685254596,1
1.697771944,0
2.185212460,1
2.197729834,0
2.685170320,1
2.697687692,0
3.185128216,1
3.197645536,0
3.685086066,1
3.697603442,0
4.185043952,1
4.197561262,0
4.685001790,1
4.697519160,0
5.184959622,1
5.197476966,0
5.684917486,1
5.697434812,0
6.184875304,1
6.197392664,0
6.684833156,1
6.697350498,0
7.184790960,1
7.197308318,0
7.684748758,1
7.697266118,0
8.184706592,1
8.197223946,0
8.684664376,1
8.697181746,0
9.184622196,1
9.197139524,0
9.684579970,1
9.697097298,0
10.184537738,1
10.197055124,0
10.684495542,1
10.697012868,0
10.938744832,0
