,time,flowrate_set,flowrate,pressure_set,pressure
1,0.1,0,0,0,0
2,0.2,0,0,0,0
3,0.3,0,0,0,0
4,0.4,0,0,0,0
5,0.5,0,0,0,0
6,0.6,0,0,0,0
7,0.7,0,0,0,0
8,0.8,0,0,0,0
9,0.9,0,0,0,0
10,1,0,0,0,0
11,1.1,0,0,0,0
12,1.2,0,0,0,0
13,1.3,0,0,0,0
14,1.4,0,0,0,0
15,1.5,0,0,0,0
16,1.6,0,0,0,0
17,1.7,0,0,0,0
18,1.8,0,0,0,0
19,1.9,0,0,0,0
20,2,0,0,0,0
21,2.1,0,0,0,0
22,2.2,0,0,0,0
23,2.3,0,0,0,0
24,2.4,0,0,0,0
25,2.5,0,0,0,0
26,2.6,0,0,0,0
27,2.7,0,0,0,0
28,2.8,0,0,0,0
29,2.9,0,0,0,0
30,3,0,0,0,0
31,3.1,0,0,0,0
32,3.2,0,0,0,0
33,3.3,0,0,0,0
34,3.4,0,0,0,0
35,3.5,0,0,0,0
36,3.6,0,0,0,0
37,3.7,0,0,0,0
38,3.8,0,0,0,0
39,3.9,0,0,0,0
40,4,0,0,0,0
41,4.1,0,0,0,0
42,4.2,0,0,0,0
43,4.3,0,0,0,0
44,4.4,0,0,0,0
45,4.5,0,0,0,0
46,4.6,0,0,0,0
47,4.7,0,0,0,0
48,4.8,0,0,0,0
49,4.9,0,0,0,0
50,5,0,0,0,0
51,5.1,0,0,0,0
52,5.2,0,0,0,0
53,5.3,0,0,0,0
54,5.4,0,0,0,0
55,5.5,0,0,0,0
56,5.6,0,0,0,0
57,5.7,0,0,0,0
58,5.8,0,0,0,0
59,5.9,0,0,0.695597529,0
60,6,0,0,0.695597529,0
61,6.1,0,0,0.695597529,0
62,6.2,0,0,0.695597529,0.613762498
63,6.3,0,0,0.695597529,0.739662528
64,6.4,0,0,0.701892495,0.862415016
65,6.5,0,0.023498535,0.695597529,0.723924994
66,6.6,0,0.089996338,0.695597529,0.692450047
67,6.7,0,0.222991943,0.695597529,0.733367503
68,6.8,0,0.251495361,0.695597529,0.607467532
69,6.9,0,0.261001587,0.695597529,0.588582516
70,7,0,0.222991943,0.695597529,0.679859996
71,7.1,0,0.279998779,0.695597529,0.692450047
72,7.2,0,0.317993164,0.695597529,0.579140007
73,7.3,0,0.384490967,0.695597529,0.654680014
74,7.4,0,0.365493774,0.695597529,0.683007538
75,7.5,0,0.289489746,0.695597529,0.620057523
76,7.6,0,0.346496582,0.695597529,0.698745012
77,7.7,0,0.308502197,0.695597529,0.575992525
78,7.8,1,0.375,0.695597529,0.450092524
79,7.9,1,0.298995972,0.739662528,0.462682515
80,8,1,0.289489746,0.878152549,0.387142509
81,8.1,1,0.393997192,0.783727527,0.516189992
82,8.2,1,0.270492554,1.01664257,0.475272506
83,8.3,1,0.279998779,1.048117518,0.881300032
84,8.4,1,0.356002808,1.079592586,1.123657584
85,8.5,1,0.441497803,1.076444983,1.082740068
86,8.6,1,0.470001221,1.092182517,1.12995255
87,8.7,1,0.479492188,1.120509982,1.117362499
88,8.8,1,0.517501831,1.205492496,1.117362499
89,8.9,1,0.574493408,1.145690084,1.174017549
90,9,1,0.583999634,1.236967564,1.167722583
91,9.1,1,0.602996826,1.31250751,1.192902565
92,9.2,1,0.621994019,1.353425026,1.205492496
93,9.3,1,0.697998047,1.281032562,1.218082547
94,9.4,1,0.669494629,1.410080075,1.246410012
95,9.5,1,0.707489014,1.359719992,1.321950078
96,9.6,1,0.774002075,1.391195059,1.252705097
97,9.7,1,0.783493042,1.315654993,1.325097561
98,9.8,1,0.76449585,1.447849989,1.309360027
99,9.9,1,0.792999268,1.416375041,1.284180045
100,10,1,0.774002075,1.545422554,1.350277543
101,10.1,1,0.802490234,1.491915107,1.40378499
102,10.2,1,0.849990845,1.36916256,1.488767505
103,10.3,1,0.963989258,1.350277543,1.331392527
104,10.4,1,0.897491455,1.435260057,1.350277543
105,10.5,1,0.849990845,1.381752491,1.293622494
106,10.6,1,0.973495483,1.325097561,1.384900093
107,10.7,1,0.906997681,1.498210073,1.447849989
108,10.8,1,0.973495483,1.447849989,1.205492496
109,10.9,1,0.963989258,1.391195059,1.359719992
110,11,1,0.925994873,1.485620022,1.306212544
111,11.1,1,1.020996094,1.476177573,1.400637507
112,11.2,1,0.906997681,1.482472539,1.36916256
113,11.3,1,0.992492676,1.517095089,1.277885079
114,11.4,1,1.001998901,1.419522524,1.43840754
115,11.5,1,0.973495483,1.501357555,1.284180045
116,11.6,1,0.973495483,1.507652521,1.410080075
117,11.7,1,1.001998901,1.463587523,1.268442512
118,11.8,1,0.963989258,1.583192587,1.281032562
119,11.9,1,1.039993286,1.391195059,1.34713006
120,12,1,0.954498291,1.476177573,1.381752491
121,12.1,1,0.963989258,1.510800004,1.34713006
122,12.2,1,0.925994873,1.624110103,1.36916256
123,12.3,1,1.020996094,1.47303009,1.362867594
124,12.4,1,0.983001709,1.52968502,1.388047576
125,12.5,1,1.011489868,1.457292557,1.375457525
126,12.6,1,1.001998901,1.488767505,1.293622494
127,12.7,1,1.020996094,1.466735005,1.359719992
128,12.8,1,1.001998901,1.535980105,1.388047576
129,12.9,1,1.087493896,1.350277543,1.218082547
130,13,1,0.992492676,1.517095089,1.331392527
131,13.1,1,1.020996094,1.476177573,1.325097561
132,13.2,1,1.020996094,1.42581749,1.350277543
133,13.3,1,1.058990479,1.419522524,1.22123003
134,13.4,1,1.153991699,1.224377513,1.281032562
135,13.5,1,0.983001709,1.510800004,1.359719992
136,13.6,1,1.030502319,1.36916256,1.281032562
137,13.7,1,0.992492676,1.49506259,1.309360027
138,13.8,1,1.030502319,1.400637507,1.240115047
139,13.9,1,1.039993286,1.43840754,1.271589994
140,14,1,1.07800293,1.394342542,1.240115047
141,14.1,1,1.020996094,1.47303009,1.337687492
142,14.2,1,1.001998901,1.469882488,1.205492496
143,14.3,1,0.992492676,1.501357555,1.290475011
144,14.4,1,1.087493896,1.479325056,1.281032562
145,14.5,1,1.049499512,1.400637507,1.243262529
146,14.6,1,1.011489868,1.406932592,1.240115047
147,14.7,1,1.011489868,1.435260057,1.233820081
148,14.8,1,1.011489868,1.507652521,1.268442512
149,14.9,1,1.030502319,1.40378499,1.243262529
150,15,1,0.944992065,1.55171752,1.205492496
151,15.1,1,1.030502319,1.422670007,1.284180045
152,15.2,1,1.049499512,1.378605008,1.337687492
153,15.3,1,1.087493896,1.243262529,1.192902565
154,15.4,1,1.068496704,1.287327528,1.265295029
155,15.5,1,1.011489868,1.375457525,1.252705097
156,15.6,1,1.039993286,1.375457525,1.290475011
157,15.7,1,1.097000122,1.290475011,1.199197531
158,15.8,1,1.011489868,1.435260057,1.246410012
159,15.9,1,1.058990479,1.303065062,1.243262529
160,16,1,1.058990479,1.328245044,1.246410012
161,16.1,1,1.049499512,1.359719992,1.230672598
162,16.2,1,1.030502319,1.284180045,1.252705097
163,16.3,1,1.001998901,1.40378499,1.318802595
164,16.4,1,1.011489868,1.356572509,1.233820081
165,16.5,1,1.001998901,1.325097561,1.284180045
166,16.6,1,1.07800293,1.189755082,1.293622494
167,16.7,1,0.992492676,1.259000063,1.293622494
168,16.8,1,1.001998901,1.31250751,1.277885079
169,16.9,1,1.020996094,1.25585258,1.246410012
170,17,1,1.001998901,1.287327528,1.271589994
171,17.1,1,0.925994873,1.306212544,1.202345014
172,17.2,1,1.011489868,1.277885079,1.22123003
173,17.3,1,1.039993286,1.293622494,1.290475011
174,17.4,1,1.011489868,1.277885079,1.199197531
175,17.5,1,0.992492676,1.36916256,1.230672598
176,17.6,1,0.954498291,1.381752491,1.218082547
177,17.7,1,0.992492676,1.356572509,1.199197531
178,17.8,1,1.001998901,1.321950078,1.142542481
179,17.9,1,0.992492676,1.290475011,1.284180045
180,18,1,1.030502319,1.306212544,1.233820081
181,18.1,1,1.030502319,1.366015077,1.243262529
182,18.2,1,1.039993286,1.34713006,1.296770096
183,18.3,1,1.020996094,1.400637507,1.299917579
184,18.4,1,1.039993286,1.290475011,1.246410012
185,18.5,1,0.944992065,1.447849989,1.306212544
186,18.6,1,1.020996094,1.328245044,1.246410012
187,18.7,1,1.030502319,1.281032562,1.259000063
188,18.8,1,0.983001709,1.422670007,1.192902565
189,18.9,1,0.992492676,1.384900093,1.18660748
190,19,1,1.030502319,1.274737597,1.265295029
191,19.1,1,1.001998901,1.337687492,1.192902565
192,19.2,1,1.001998901,1.340835094,1.12995255
193,19.3,1,0.944992065,1.428965092,1.192902565
194,19.4,1,1.068496704,1.240115047,1.296770096
195,19.5,1,0.992492676,1.359719992,1.259000063
196,19.6,1,1.011489868,1.299917579,1.290475011
197,19.7,1,1.011489868,1.259000063,1.252705097
198,19.8,1,0.973495483,1.337687492,1.233820081
199,19.9,1,0.963989258,1.303065062,1.284180045
200,20,1,0.888000488,1.476177573,1.293622494
201,20.1,1,0.944992065,1.435260057,1.243262529
202,20.2,1,0.992492676,1.353425026,1.155132532
203,20.3,1,0.906997681,1.482472539,1.252705097
204,20.4,1,1.039993286,1.281032562,1.214935064
205,20.5,1,0.954498291,1.391195059,1.139394999
206,20.6,1,1.020996094,1.296770096,1.22123003
207,20.7,1,0.983001709,1.378605008,1.362867594
208,20.8,1,0.992492676,1.350277543,1.174017549
209,20.9,1,1.011489868,1.400637507,1.240115047
210,21,1,1.087493896,1.394342542,1.177165031
211,21.1,1,1.011489868,1.265295029,1.259000063
212,21.2,1,1.020996094,1.315654993,1.246410012
213,21.3,1,1.020996094,1.325097561,1.306212544
214,21.4,1,1.001998901,1.356572509,1.299917579
215,21.5,1,1.049499512,1.268442512,1.299917579
216,21.6,1,0.963989258,1.422670007,1.214935064
217,21.7,1,0.954498291,1.43840754,1.205492496
218,21.8,1,1.011489868,1.428965092,1.293622494
219,21.9,1,1.039993286,1.321950078,1.227524996
220,22,1,0.992492676,1.366015077,1.281032562
221,22.1,1,1.011489868,1.290475011,1.290475011
222,22.2,1,1.020996094,1.356572509,1.22123003
223,22.3,1,1.001998901,1.281032562,1.321950078
224,22.4,1,1.001998901,1.218082547,1.205492496
225,22.5,1,0.944992065,1.233820081,1.277885079
226,22.6,1,1.07800293,1.444702506,1.218082547
227,22.7,1,1.020996094,1.413227558,1.31250751
228,22.8,1,1.039993286,1.340835094,1.265295029
229,22.9,1,1.039993286,1.240115047,1.233820081
230,23,1,1.020996094,1.318802595,1.268442512
231,23.1,1,0.983001709,1.328245044,1.208640099
232,23.2,1,0.973495483,1.413227558,1.202345014
233,23.3,1,0.954498291,1.406932592,1.230672598
234,23.4,1,1.068496704,1.227524996,1.277885079
235,23.5,1,0.973495483,1.391195059,1.290475011
236,23.6,1,0.983001709,1.340835094,1.296770096
237,23.7,1,0.944992065,1.394342542,1.208640099
238,23.8,1,0.992492676,1.372310042,1.199197531
239,23.9,1,0.944992065,1.43840754,1.296770096
240,24,1,0.925994873,1.366015077,1.34713006
241,24.1,1,1.001998901,1.309360027,1.281032562
