,time,flowrate_set,flowrate,pressure_set,pressure
1,0.1,0,0,0,0
2,0.2,0,0,0,0
3,0.3,0,0,0,0
4,0.4,0,0,0,0
5,0.5,0,0,0,0
6,0.6,0,0,0,0
7,0.7,0,0,0,0
8,0.8,0,0,0,0
9,0.9,0,0,0,0
10,1,0,0,0,0
11,1.1,0,0,0,0
12,1.2,0,0,0,0
13,1.3,0,0,0,0
14,1.4,0,0,0,0
15,1.5,0,0,0,0
16,1.6,0,0,0,0
17,1.7,0,0,0,0
18,1.8,0,0,0,0
19,1.9,0,0,0,0
20,2,0,0,0,0
21,2.1,0,0,0,0
22,2.2,0,0,0,0
23,2.3,0,0,0,0
24,2.4,0,0,0,0
25,2.5,0,0,0,0
26,2.6,0,0,0,0
27,2.7,0,0,0,0
28,2.8,0,0,0,0
29,2.9,0,0,0,0
30,3,3.5,0,1.34713006,0
31,3.1,3.5,0,1.781485081,0
32,3.2,3.5,0,2.436165094,1.790927529
33,3.3,3.5,0.01399231,3.049927711,2.993272543
34,3.4,3.5,0.270492554,3.383562565,3.352087498
35,3.5,3.5,0.565002441,3.622772694,3.449660063
36,3.6,3.5,0.792999268,4.009915352,3.588150024
37,3.7,3.5,1.020996094,4.094897747,3.890310049
38,3.8,3.5,1.29649353,4.201912403,4.205060005
39,3.9,3.5,1.543502808,4.337255001,4.327812672
40,4,3.5,1.752502441,4.563875198,4.582760334
41,4.1,3.5,2.009002686,4.582760334,4.441122532
42,4.2,3.5,2.094497681,4.768462658,4.74642992
43,4.3,3.5,2.255996704,4.626825333,4.696070194
44,4.4,3.5,2.493499756,4.699217796,4.774757862
45,4.5,3.5,2.70249939,4.762167454,4.762167454
46,4.6,3.5,2.854492188,4.796790123,4.692922592
47,4.7,3.5,3.025497437,4.83770752,4.765315056
48,4.8,3.5,3.167999268,4.702364922,4.765315056
49,4.9,3.5,3.244003296,4.765315056,4.790494919
50,5,3.5,3.386489868,4.475745201,4.674037457
51,5.1,3.5,3.395996094,4.796790123,4.541842461
52,5.2,3.5,3.481491089,4.620530128,4.5670228
53,5.3,3.5,3.45300293,4.777904987,4.393909931
54,5.4,3.5,3.595489502,4.397057533,4.343550205
55,5.5,3.5,3.557495117,4.812527657,4.485187531
56,5.6,3.5,3.509994507,4.749577522,4.711807728
57,5.7,3.5,3.633499146,4.409647465,4.617382526
58,5.8,3.5,3.737991333,4.220797539,4.541842461
59,5.9,3.5,3.680999756,4.368730068,4.40650034
60,6,3.5,3.699996948,4.286895275,4.368730068
61,6.1,3.5,3.699996948,4.4285326,4.242830276
62,6.2,3.5,3.718994141,4.239682674,4.160995007
63,6.3,3.5,3.62399292,4.447417736,4.132667542
64,6.4,3.5,3.557495117,4.529252529,3.99417758
65,6.5,3.5,3.633499146,4.2900424,4.047685146
66,6.6,3.5,3.567001343,4.330960274,4.51036787
67,6.7,3.5,3.547988892,4.384467602,4.280600071
68,6.8,3.5,3.642990112,4.066570282,4.362435341
69,6.9,3.5,3.62399292,4.214502811,4.217649937
70,7,3.5,3.567001343,4.32466507,4.211355209
71,7.1,3.5,3.62399292,4.088602543,4.082307816
72,7.2,3.5,3.633499146,4.132667542,4.192470074
73,7.3,3.5,3.614501953,4.113782406,4.035095215
74,7.4,3.5,3.585998535,4.101192474,4.041389942
75,7.5,3.5,3.585998535,4.205060005,3.962702513
76,7.6,3.5,3.538497925,4.23338747,4.022505283
77,7.7,3.5,3.567001343,4.195617676,4.003620148
78,7.8,3.5,3.67149353,3.890310049,4.031947613
79,7.9,3.5,3.62399292,3.962702513,3.893457651
80,8,3.5,3.481491089,4.296337605,3.91549015
81,8.1,3.5,3.472000122,4.283747673,3.884015083
82,8.2,3.5,3.443496704,4.296337605,4.05398035
83,8.3,3.5,3.45300293,4.192470074,4.138962746
84,8.4,3.5,3.557495117,4.094897747,4.00676775
85,8.5,3.5,3.547988892,4.245977402,3.965850115
86,8.6,3.5,3.509994507,4.192470074,4.047685146
87,8.7,3.5,3.490997314,4.192470074,3.99417758
88,8.8,3.5,3.547988892,4.069717407,4.113782406
89,8.9,3.5,3.481491089,4.299485207,3.953260183
90,9,3.5,3.538497925,4.154700279,3.924932718
91,9.1,3.5,3.538497925,4.022505283,4.066570282
92,9.2,3.5,3.509994507,3.981587648,4.098045349
93,9.3,3.5,3.481491089,4.094897747,4.047685146
94,9.4,3.5,3.45300293,4.299485207,3.962702513
95,9.5,3.5,3.519500732,3.931227684,4.016210079
96,9.6,3.5,3.45300293,4.242830276,3.978440046
97,9.7,3.5,3.443496704,4.123225212,4.044537544
98,9.8,3.5,3.395996094,4.32466507,4.076012611
99,9.9,3.5,3.50050354,4.091750145,4.028800011
100,10,3.5,3.481491089,4.00676775,4.035095215
101,10.1,3.5,3.50050354,4.205060005,3.99417758
102,10.2,3.5,3.519500732,4.164142609,4.05398035
103,10.3,3.5,3.519500732,4.050832748,4.031947613
104,10.4,3.5,3.519500732,4.116930008,4.085454941
105,10.5,3.5,3.490997314,4.135815144,4.022505283
106,10.6,3.5,3.567001343,3.965850115,3.984735012
107,10.7,3.5,3.472000122,4.198765278,3.965850115
108,10.8,3.5,3.433990479,4.302632809,4.098045349
109,10.9,3.5,3.424499512,4.334107876,4.035095215
110,11,3.5,3.433990479,4.179880142,4.110635281
111,11.1,3.5,3.443496704,4.280600071,4.069717407
112,11.2,3.5,3.509994507,4.123225212,4.088602543
113,11.3,3.5,3.547988892,4.173584938,4.019357681
114,11.4,3.5,3.50050354,3.909195185,3.991030216
115,11.5,3.5,3.538497925,3.987882614,4.044537544
116,11.6,3.5,3.557495117,4.06342268,3.968997717
117,11.7,3.5,3.50050354,4.145257473,3.877720118
118,11.8,3.5,3.45300293,4.305779934,3.997325182
119,11.9,3.5,3.557495117,3.912342548,4.057127476
120,12,3.5,3.481491089,4.154700279,4.167290211
121,12.1,3.5,3.462493896,4.050832748,4.057127476
122,12.2,3.5,3.481491089,4.116930008,4.060275078
123,12.3,3.5,3.481491089,4.072865009,4.031947613
124,12.4,3.5,3.433990479,4.060275078,3.981587648
125,12.5,3.5,3.433990479,4.271157742,4.094897747
126,12.6,3.5,3.472000122,4.098045349,4.047685146
127,12.7,3.5,3.538497925,4.057127476,4.016210079
128,12.8,3.5,3.519500732,3.981587648,4.072865009
129,12.9,3.5,3.490997314,4.129519939,4.201912403
130,13,3.5,3.557495117,4.06342268,4.076012611
131,13.1,3.5,3.509994507,4.227092743,3.984735012
132,13.2,3.5,3.50050354,4.249125004,4.019357681
133,13.3,3.5,3.50050354,4.101192474,4.041389942
134,13.4,3.5,3.50050354,4.151552677,4.12007761
135,13.5,3.5,3.472000122,4.145257473,4.028800011
136,13.6,3.5,3.462493896,3.968997717,4.022505283
137,13.7,3.5,3.490997314,4.245977402,4.094897747
138,13.8,3.5,3.490997314,4.094897747,4.098045349
139,13.9,3.5,3.547988892,4.217649937,4.066570282
140,14,3.5,3.50050354,4.245977402,4.069717407
141,14.1,3.5,3.443496704,4.268010139,3.99417758
142,14.2,3.5,3.45300293,4.321517467,4.057127476
143,14.3,3.5,3.50050354,4.116930008,4.072865009
144,14.4,3.5,3.462493896,4.189322472,4.009915352
145,14.5,3.5,3.547988892,3.997325182,4.085454941
146,14.6,3.5,3.519500732,4.069717407,4.082307816
147,14.7,3.5,3.386489868,4.375025272,3.984735012
148,14.8,3.5,3.509994507,4.085454941,3.99417758
149,14.9,3.5,3.481491089,4.132667542,4.035095215
150,15,3.5,3.50050354,4.201912403,4.047685146
151,15.1,3.5,3.557495117,4.031947613,4.072865009
152,15.2,3.5,3.509994507,4.076012611,4.085454941
153,15.3,3.5,3.433990479,4.057127476,4.044537544
154,15.4,3.5,3.50050354,4.227092743,4.072865009
155,15.5,3.5,3.509994507,4.230240345,4.031947613
156,15.6,3.5,3.585998535,4.154700279,3.975292683
157,15.7,3.5,3.481491089,4.164142609,4.031947613
158,15.8,3.5,3.509994507,4.072865009,4.009915352
159,15.9,3.5,3.472000122,4.138962746,3.991030216
160,16,3.5,3.481491089,4.069717407,3.984735012
161,16.1,3.5,3.519500732,4.148405075,4.066570282
162,16.2,3.5,3.509994507,4.145257473,4.019357681
163,16.3,3.5,3.50050354,4.079160213,4.085454941
164,16.4,3.5,3.433990479,4.230240345,4.003620148
165,16.5,3.5,3.50050354,4.167290211,4.016210079
166,16.6,3.5,3.481491089,4.129519939,4.022505283
167,16.7,3.5,3.585998535,3.912342548,3.965850115
168,16.8,3.5,3.509994507,4.110635281,3.962702513
169,16.9,3.5,3.443496704,4.236535072,4.085454941
170,17,3.5,3.490997314,4.195617676,3.997325182
171,17.1,3.5,3.547988892,4.072865009,3.91549015
172,17.2,3.5,3.50050354,4.098045349,4.035095215
173,17.3,3.5,3.45300293,4.145257473,4.009915352
174,17.4,3.5,3.50050354,4.170437813,4.019357681
175,17.5,3.5,3.509994507,3.899752617,3.975292683
176,17.6,3.5,3.490997314,4.142110348,4.101192474
177,17.7,3.5,3.547988892,3.987882614,4.016210079
178,17.8,3.5,3.462493896,4.170437813,4.028800011
179,17.9,3.5,3.462493896,4.173584938,4.022505283
180,18,3.5,3.538497925,4.252272606,4.031947613
181,18.1,3.5,3.57649231,3.972145081,4.009915352
182,18.2,3.5,3.519500732,4.245977402,4.028800011
183,18.3,3.5,3.50050354,4.23338747,4.035095215
184,18.4,3.5,3.538497925,4.000472546,4.035095215
185,18.5,3.5,3.50050354,4.198765278,4.035095215
186,18.6,3.5,3.50050354,4.098045349,4.00676775
187,18.7,3.5,3.472000122,4.189322472,4.12007761
188,18.8,3.5,3.547988892,3.972145081,4.05398035
189,18.9,3.5,3.481491089,4.214502811,4.069717407
190,19,3.5,3.443496704,4.236535072,3.943817616
191,19.1,3.5,3.433990479,4.170437813,4.113782406
192,19.2,3.5,3.462493896,4.252272606,4.022505283
193,19.3,3.5,3.462493896,4.25856781,4.126372814
194,19.4,3.5,3.519500732,4.220797539,4.057127476
195,19.5,3.5,3.509994507,4.113782406,4.148405075
196,19.6,3.5,3.595489502,3.896605015,4.076012611
197,19.7,3.5,3.614501953,3.91549015,4.066570282
198,19.8,3.5,3.538497925,4.123225212,4.031947613
199,19.9,3.5,3.519500732,4.101192474,4.022505283
200,20,3.5,3.490997314,4.299485207,3.981587648
201,20.1,3.5,3.490997314,4.038242817,4.076012611
202,20.2,3.5,3.538497925,4.041389942,3.931227684
203,20.3,3.5,3.433990479,4.170437813,4.041389942
204,20.4,3.5,3.490997314,4.091750145,4.022505283
205,20.5,3.5,3.50050354,4.101192474,3.984735012
206,20.6,3.5,3.481491089,4.198765278,4.009915352
207,20.7,3.5,3.443496704,4.157847404,4.12007761
208,20.8,3.5,3.472000122,4.154700279,4.076012611
209,20.9,3.5,3.547988892,3.93752265,4.019357681
210,21,3.5,3.547988892,3.981587648,4.047685146
211,21.1,3.5,3.481491089,4.154700279,4.101192474
212,21.2,3.5,3.50050354,4.072865009,4.041389942
